STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
TAI NAM CORPORATION,34508,88874,10001,A,4925 N BROADWAY,60640,UPTOWN,3,48,17031031200,1.7031E+14,1167456.934,1933184.891,41.97221356,-87.6596091,"(41.972213557, -87.6596091001)"
LA JALISCIENCE,4749,23661,3000,B,3239 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031840800,1.70318E+14,1155046.943,1886508.425,41.84438799,-87.7064971,"(41.8443879922, -87.7064970959)"
HOLLYWOOD TOWER MKT,1858,62539,3000,B,5701 N SHERIDAN RD,60660,EDGEWATER,77,48,17031030604,1.7031E+14,1168645.915,1938086.669,41.98563842,-87.65509432,"(41.985638421, -87.6550943233)"
A & R FOOD MART,1954411,340750,3500,B,5952 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,1.70312E+14,1136148.465,1914149.527,41.92059646,-87.77519268,"(41.9205964582, -87.7751926809)"
S L PANTRY & GRILL,2013420,17935,2600,B,4759 N SHERIDAN RD,60640,UPTOWN,3,46,17031031501,1.7031E+14,1168808.076,1932041.457,41.96904667,-87.65467406,"(41.9690466747, -87.654674059)"
ANDYS FRUIT RANCH,1275209,3868,15000,A,4733 N KEDZIE AVE,60625,ALBANY PARK,14,33,17031140800,1.70311E+14,1154227.464,1931413.945,41.96762916,-87.70830369,"(41.9676291597, -87.7083036873)"
DOMINICK'S #1875,1273445,5033,39000,A,1 N HALSTED ST,60661,NEAR WEST SIDE,28,27,17031280100,1.70313E+14,1171090.968,1900270.454,41.88181563,-87.64721472,"(41.8818156316, -87.647214717)"
SAVE-A-LOT # 866,1299911,216203,,A,3939 W OGDEN AVE,60623,NORTH LAWNDALE,29,22,17031843400,1.70318E+14,1150300.621,1888988.907,41.85128849,-87.72385084,"(41.85128849, -87.72385084)"
OSAMA FOOD MART,2031620,352625,2800,B,615 E 67TH ST,60637,WOODLAWN,42,20,17031421200,1.70314E+14,1181566.424,1860686.264,41.77295752,-87.6099734,"(41.7729575221, -87.6099733981)"
EL  PASEO  BORICUA,1301216,254645,3000,B,2706 W DIVISION ST,60622,WEST TOWN,24,26,17031242600,1.70312E+14,1158083.137,1907909.83,41.9030542,-87.69477042,"(41.9030542001, -87.6947704208)"
FOOD BASKET,1682475,291625,2500,B,7205 S HALSTED ST,60621,ENGLEWOOD,68,17,17031681300,1.70317E+14,1172254.564,1857047.146,41.7631812,-87.64421502,"(41.763181195, -87.644215021)"
SHOP & SAVE MARKET,1991275,338404,63426,A,5829 S ARCHER AVE,60638,GARFIELD RIDGE,56,23,17031560700,1.70316E+14,1140672.648,1868781.976,41.79601962,-87.75968337,"(41.7960196245, -87.7596833672)"
GENES SAUSAGE SHOP AT DELI MEYER,1922145,335302,6000,B,4746 N LINCOLN AVE,60625,LINCOLN SQUARE,4,47,17031040600,1.7031E+14,1159702.057,1931499.897,41.96775366,-87.68817172,"(41.9677536575, -87.6881717161)"
ALDI INC. #96,1868821,5273,16117,A,821 W 115TH ST,60643,WEST PULLMAN,53,34,17031530300,1.70315E+14,1172808.524,1828547.02,41.68496064,-87.64302231,"(41.6849606404, -87.6430223096)"
SUPER FURNITURE & FOOD MART,2060727,357170,4000,B,5257 S ASHLAND AVE,60609,NEW CITY,61,16,17031611900,1.70316E+14,1166612.169,1869626.454,41.79782259,-87.66453688,"(41.7978225881, -87.6645368783)"
ALDI FOODS STORE #2,14004,5273,15600,A,4645 W DIVERSEY AVE,60639,HERMOSA,20,31,17031190900,1.70312E+14,1144687.324,1918165.88,41.93146094,-87.74371731,"(41.9314609382, -87.743717307)"
LOS POTRILLOS,1650212,299177,7000,B,3624 W BELMONT AVE,60618,AVONDALE,21,35,17031831100,1.70318E+14,1151517.723,1921074.037,41.93930952,-87.71853994,"(41.939309516, -87.7185399405)"
MAYFLOWER FOOD,1168793,17975,6000,B,2104 S ARCHER AVE,60616,ARMOUR SQUARE,34,25,17031841100,1.70318E+14,1175264.592,1890264.228,41.8542653,-87.63218951,"(41.8542653039, -87.6321895068)"
Municipal Foods,1478386,273724,9980,B,2559 W DIVISION ST,60622,WEST TOWN,24,26,17031242500,1.70312E+14,1158868.182,1907844.637,41.90285923,-87.69188858,"(41.9028592342, -87.6918885843)"
SUPERMERCADO TEPECOA GUERRERO,1493584,277252,3500,B,3629 W 63RD ST,60629,WEST LAWN,65,13,17031650302,1.70317E+14,1153106.483,1862551.204,41.77868472,-87.71425166,"(41.7786847162, -87.7142516633)"
ALDI INC STORE #16,1226990,5273,20848,A,1246 E 87TH ST,60619,AVALON PARK,45,8,17031834300,1.70318E+14,1186130.222,1847590.652,41.73691535,-87.59365662,"(41.736915346, -87.5936566218)"
ALDI FOODS STORE #26,13998,5273,15540,A,2600 N CLYBOURN AVE,60614,LINCOLN PARK,7,32,17031070700,1.70311E+14,1163612.486,1917295.732,41.928695,-87.67419508,"(41.9286950012, -87.6741950831)"
KAPS FOODS,57817,18562,4100,B,3557 S CALIFORNIA AVE,60632,BRIGHTON PARK,58,12,17031580100,1.70316E+14,1158326.483,1880700.349,41.82838364,-87.69462017,"(41.8283836447, -87.69462017)"
SANABEL GROCERY & BAKERY,2009055,349374,6200,B,4213 N KEDZIE AVE,60618,IRVING PARK,16,33,17031160601,1.70312E+14,1154336.816,1927899.606,41.9579834,-87.70799592,"(41.9579834025, -87.7079959151)"
ALLA'S FOOD,1068956,204849,3500,B,2024 E 93RD ST,60617,CALUMET HEIGHTS,48,8,17031480400,1.70315E+14,1191449.683,1843746.804,41.72624035,-87.57429226,"(41.7262403487, -87.5742922611)"
AL BAYAN GROCERY INC.,1542202,282078,2500,B,3134 N NARRAGANSETT AVE,60634,BELMONT CRAGIN,19,36,17031831500,1.70318E+14,1133152.97,1920313.703,41.93756465,-87.78605437,"(41.9375646502, -87.7860543686)"
GENE'S SAUSAGE SHOP & DELI INC,1876,371,5000,B,5330 W BELMONT AVE,60641,PORTAGE PARK,15,38,17031151100,1.70312E+14,1140128.164,1920795.598,41.93876197,-87.76040707,"(41.9387619658, -87.7604070714)"
RIGO'S GROCERY,1144306,215370,2500,B,2858 S LAWNDALE AVE,60623,SOUTH LAWNDALE,30,22,17031301702,1.70313E+14,1152136.584,1884500.849,41.83893675,-87.71723055,"(41.8389367453, -87.7172305546)"
WALMART,,,,A,10900 S DOTY AVE W,60628,PULLMAN,50,9,17031500200,1.70315E+14,1185444.674,1832788.876,41.69631368,-87.59663224,"(41.69631368, -87.59663224)"
CHICAGO PRODUCE,1865,368,13500,A,3500 W LAWRENCE AVE,60625,ALBANY PARK,14,39,17031140200,1.70311E+14,1152167.179,1931711.03,41.96848537,-87.71587133,"(41.9684853733, -87.7158713295)"
"PARK FOODS OF 71ST STREET,INC.",1677517,300221,3500,B,2612 W 71ST ST,60629,CHICAGO LAWN,66,18,17031660900,1.70317E+14,1160100.053,1857512.637,41.76471714,-87.68875098,"(41.7647171389, -87.6887509815)"
PETE'S PRODUCE,1476553,273114,5000,B,1543 E 87TH ST,60619,CALUMET HEIGHTS,48,8,17031480200,1.70315E+14,1188145.963,1847564.374,41.73679546,-87.58627251,"(41.7367954576, -87.5862725091)"
TRADER JOE'S EAST,1592120,211718,10615,A,44 E ONTARIO ST,60611,NEAR NORTH SIDE,8,42,17031081500,1.70311E+14,1176714.099,1904540.637,41.89340802,-87.62643774,"(41.8934080204, -87.6264377426)"
EMILIO'S PRODUCE,1675623,298914,2500,B,2294 N MILWAUKEE AVE,60647,LOGAN SQUARE,22,1,17031221400,1.70312E+14,1157396.781,1915026.703,41.92259747,-87.69709763,"(41.9225974657, -87.6970976291)"
"GRAND PALACE SUPERMARKET, INC",49648,17200,3000,B,7131 S STATE ST,60619,GREATER GRAND CROSSING,69,6,17031691000,1.70317E+14,1177563.58,1857597.706,41.76457363,-87.62473997,"(41.7645736329, -87.6247399651)"
ALDI #70,1997726,5273,18263,A,7627 S ASHLAND AVE,60620,AUBURN GRESHAM,71,17,17031710300,1.70317E+14,1167042.618,1854021.323,41.75499092,-87.66340416,"(41.7549909175, -87.6634041558)"
SUPER MERCADO LA CHIQUITA,6054,3546,9500,B,3555 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031301600,1.70313E+14,1152851.981,1886452.834,41.84427912,-87.71455377,"(41.8442791237, -87.7145537663)"
ALDI'S # 26,1821323,5273,16550,A,10532 S INDIANAPOLIS AVE,60617,EAST SIDE,52,10,17031520100,1.70315E+14,1204788.063,1835640.292,41.70366236,-87.52571243,"(41.7036623609, -87.5257124268)"
CARNICERIA RICARDO,35191,15006,5000,B,4419 W DIVERSEY AVE,60639,HERMOSA,20,31,17031200200,1.70312E+14,1146359.156,1918206.521,41.93154075,-87.73757251,"(41.9315407469, -87.7375725127)"
LINDO MICHOACAN,42744,86194,8600,B,3142 W LAWRENCE AVE,60625,ALBANY PARK,14,33,17031140100,1.70311E+14,1154365.277,1931758.826,41.96857277,-87.7077877,"(41.9685727721, -87.7077877013)"
NAYAB MART,1444872,269649,3125,B,2449 W DEVON AVE,60659,WEST RIDGE,2,50,17031020802,1.7031E+14,1158623.872,1942364.61,41.99758912,-87.69183691,"(41.9975891244, -87.6918369148)"
EDGEWATER PRODUCE,16765,6928,7400,B,5509 N CLARK ST,60640,EDGEWATER,77,48,17031030800,1.7031E+14,1165060.268,1936722.179,41.98197138,-87.66832103,"(41.981971377, -87.6683210323)"
JEWEL FOOD STORE #3224,1144401,259,29299,A,6430 W IRVING PARK RD,60634,DUNNING,17,38,17031170100,1.70312E+14,1132667.451,1925939.24,41.95301023,-87.78770716,"(41.9530102332, -87.7877071626)"
LOS SAUCES GROCERY,1223250,230035,2800,B,5852 W DIVERSEY AVE,60639,BELMONT CRAGIN,19,30,17031190402,1.70312E+14,1136654.046,1918049.07,41.9312882,-87.77324145,"(41.9312882001, -87.7732414533)"
THE WAREHOUSE,1843355,315225,6000,B,538 W 119TH ST,60628,WEST PULLMAN,53,34,17031530200,1.70315E+14,1174692.38,1826020.558,41.677986,-87.63620086,"(41.6779860017, -87.6362008551)"
ARISTA FOODS,1473367,271891,10000,A,112 N MAY ST,60607,NEAR WEST SIDE,28,27,17031833000,1.70318E+14,1168768.827,1900830.156,41.88340212,-87.65572529,"(41.8834021216, -87.6557252931)"
MORSE FOOD AND MEAT MARKET,1518304,280735,17000,A,1430 W MORSE AVE,60626,ROGERS PARK,1,49,17031010600,1.7031E+14,1165298.323,1946207.741,42.00799492,-87.66717415,"(42.0079949199, -87.6671741467)"
"CALABRIA IMPORTS, INC.",1357606,264103,3100,B,1905 W 103RD ST,60643,BEVERLY,72,19,17031720700,1.70317E+14,1165555.282,1836329.433,41.70647332,-87.66935499,"(41.7064733245, -87.6693549885)"
KOL TUV KOSHER FOODS INC,12952,6158,3000,B,2938 W DEVON AVE,60659,WEST RIDGE,2,50,17031020601,1.7031E+14,1155422.897,1942345.28,41.99760128,-87.70361267,"(41.9976012808, -87.7036126719)"
ALDI INC # 62,13984,5273,12646,A,6220 N CALIFORNIA AVE,60659,WEST RIDGE,2,50,17031020702,1.7031E+14,1156498.066,1941267.105,41.99462096,-87.69968686,"(41.9946209588, -87.6996868624)"
JEWEL FOOD  STORE # 3345,1142451,259,60271,A,1224 S WABASH AVE,60605,NEAR SOUTH SIDE,33,2,17031330100,1.70313E+14,1176924.005,1894818.198,41.86672435,-87.62596115,"(41.8667243541, -87.6259611484)"
WASHINGTON GROCERY,6249,23967,4200,B,4139 W FIFTH AVE,60624,WEST GARFIELD PARK,26,24,17031261000,1.70313E+14,1148829.351,1896476.401,41.87186361,-87.72905737,"(41.8718636117, -87.7290573726)"
FAIRWAY FOOD,2031993,352796,3000,B,2900 E 79TH ST,60649,SOUTH SHORE,43,7,17031431301,1.70314E+14,1196899.785,1853184.817,41.75200539,-87.55401542,"(41.7520053919, -87.5540154169)"
FRESH MARKET PLACE,1382145,266140,20000,A,2600 N CENTRAL AVE,60639,BELMONT CRAGIN,19,30,17031190602,1.70312E+14,1138560.743,1916734.936,41.92764768,-87.76626652,"(41.9276476796, -87.7662665211)"
THE FISH KEG INC,4908,3299,4000,B,2233 W HOWARD ST,60645,WEST RIDGE,2,49,17031020100,1.7031E+14,1160144.837,1950322.625,42.01939474,-87.6860205,"(42.0193947424, -87.6860204976)"
NANCE FOOD MART,4756,3277,4500,B,10935 S WENTWORTH AVE,60628,ROSELAND,49,34,17031491000,1.70315E+14,1176930.576,1832294.683,41.69515316,-87.62782024,"(41.6951531575, -87.6278202407)"
RIVIERA FOODS,39650,89265,3500,B,3218 N HARLEM AVE,60634,DUNNING,17,36,17031170800,1.70312E+14,1127474.975,1920652.267,41.93859128,-87.8069148,"(41.9385912816, -87.8069148007)"
WILLIAM'S PRODUCE,2079521,359604,6375,B,6309 W GRAND AVE,60639,BELMONT CRAGIN,19,29,17031191301,1.70312E+14,1133912.47,1914608.009,41.92189423,-87.78339752,"(41.9218942299, -87.78339752)"
CHATHAM FOOD MARKET,1904290,331037,4500,B,327 E 79TH ST,60619,CHATHAM,44,6,17031440300,1.70314E+14,1179727.919,1852659.216,41.75097268,-87.61695788,"(41.7509726753, -87.6169578802)"
JEWEL FOOD STORE #3442,1406,259,29060,A,4042 W FOSTER AVE,60630,NORTH PARK,13,39,17031130200,1.70311E+14,1148348.854,1934285.341,41.97562411,-87.72984456,"(41.9756241124, -87.7298445616)"
PAULINA MARKET,1680919,301699,10000,A,3501 N LINCOLN AVE,60657,LAKE VIEW,6,32,17031831900,,1164057.216,1923333.711,41.94525416,-87.67238979,"(41.9452541584, -87.6723897932)"
CARNICERIA GUANJUATO #3,17340,63206,8800,B,1436 N ASHLAND AVE,60622,WEST TOWN,24,1,17031241500,1.70312E+14,1165420.746,1909810.008,41.90811537,-87.66776383,"(41.9081153739, -87.6677638335)"
PETE'S FRESH MARKET,1598145,292834,50000,A,3448 E 118TH ST,60617,HEGEWISCH,55,10,17031550100,1.70316E+14,1201135.133,1827369.419,41.68105956,-87.53936754,"(41.6810595555, -87.5393675414)"
WHOLE FOODS MARKET,1678035,86298,6335,B,6020 N CICERO AVE,60646,FOREST GLEN,12,39,17031120200,1.70311E+14,1143245.244,1939669.138,41.99049477,-87.74847741,"(41.9904947718, -87.7484774142)"
E.M. GROCERIES,4863,3289,4500,B,5358 S CARPENTER ST,60609,NEW CITY,61,16,17031612000,1.70316E+14,1170189.627,1869037.379,41.79612897,-87.6514349,"(41.7961289732, -87.6514349028)"
SAVE-A-LOT #860,1196076,216203,12500,A,4439 W 63RD ST,60629,WEST LAWN,65,13,17031650301,1.70317E+14,1147705.019,1862415.008,41.77841597,-87.73405757,"(41.7784159744, -87.7340575715)"
ATHENS GROCERY,971,185,2600,B,324 S HALSTED ST,60661,NEAR WEST SIDE,28,27,17031833100,1.70318E+14,1171063.79,1898574.396,41.87716213,-87.64736429,"(41.8771621281, -87.6473642897)"
JEWEL FOOD STORE #3092,1411,259,10001,A,1655 E 95TH ST,60617,SOUTH DEERING,51,7,17031510300,1.70315E+14,1189107.784,1842276.927,41.7222632,-87.58291763,"(41.7222631981, -87.5829176346)"
THRIFTY FOOD,1045545,28478,4000,B,928 W WILSON AVE,60640,UPTOWN,3,46,17031031501,1.7031E+14,1169121.324,1930772.462,41.9655577,-87.65355928,"(41.9655577007, -87.653559279)"
DOMINICK'S # 1100,41629,5033,10001,A,3145 S ASHLAND AVE,60608,MCKINLEY PARK,59,11,17031840400,1.70318E+14,1166221.872,1883706.591,41.83646835,-87.6655669,"(41.8364683477, -87.6655669021)"
SAVE-A-LOT # 854,1245433,216203,15000,A,7908 S HALSTED ST,60620,AUBURN GRESHAM,71,17,17031710800,1.70317E+14,1172300.997,1852361.578,41.75032239,-87.64418241,"(41.7503223874, -87.6441824061)"
"CARNICERIA LA GLORIA NO. 2, INC.",1514813,279304,7500,B,2744 W 55TH ST,60632,GAGE PARK,63,14,17031630500,1.70316E+14,1158820.849,1868105.555,41.79381183,-87.6931506,"(41.7938118263, -87.6931506024)"
DOMINICK'S # 113/1113,41633,5033,10001,A,6312 N NAGLE AVE,60646,NORWOOD PARK,10,41,17031100200,1.70311E+14,1132586.749,1941599.641,41.99598529,-87.78763712,"(41.9959852861, -87.7876371171)"
STRACK & VAN TIL,1798602,308026,65400,A,2627 N ELSTON AVE,60647,LOGAN SQUARE,22,1,17031830900,1.70318E+14,1161027.148,1917565.451,41.92948927,-87.68368782,"(41.929489274, -87.6836878249)"
CORCORANS PANTRY INC,9412,4333,4200,B,1105 W BRYN MAWR AVE,60660,EDGEWATER,77,48,17031030701,1.7031E+14,1167789.171,1937316.92,41.98354479,-87.65826767,"(41.9835447852, -87.6582676725)"
JEWEL FOOD STORE #3477,1372,259,17676,A,4734 N CUMBERLAND AVE,60656,OHARE,76,36,17031760802,1.70318E+14,1119277.591,1930595.659,41.9660114,-87.83683117,"(41.9660114013, -87.8368311691)"
SUPERMERCADO EL GUERO NO. 8,20973,8662,14000,A,2101 W CERMAK RD,60608,LOWER WEST SIDE,31,25,17031841300,1.70318E+14,1162678.162,1889348.683,41.85202569,-87.67841224,"(41.8520256918, -87.6784122433)"
3600 COMMISSARY,24279,9830,3800,B,3600 N LAKE SHORE DR,60613,LAKE VIEW,6,46,17031060900,1.70311E+14,1171865.819,1924645.038,41.94868367,-87.64364976,"(41.9486836744, -87.6436497585)"
LA CIENEGA SUPER FOOD INC,65173,20310,10000,A,10736 S EWING AVE,60617,EAST SIDE,52,10,17031520300,1.70315E+14,1202148.292,1834213.572,41.69981485,-87.53542689,"(41.6998148465, -87.5354268905)"
"MORELIA SUPERMARKET #2, INC.",1648410,298039,12000,A,4833 W DIVERSEY AVE,60639,BELMONT CRAGIN,19,31,17031190800,1.70312E+14,1143539.264,1918138.099,41.93140629,-87.74793697,"(41.931406291, -87.7479369735)"
BURNHAM PLAZA MART,2014232,350131,2950,B,828 S WABASH AVE,60605,LOOP,32,2,17031320600,1.70313E+14,1176878.787,1896537.846,41.8714442,-87.62607513,"(41.8714441963, -87.6260751303)"
INTERNATIONAL FOODS NW INC,1129,215,14000,A,4404 W FULLERTON AVE,60639,HERMOSA,20,31,17031200200,1.70312E+14,1146590.136,1915632.373,41.92447264,-87.73678951,"(41.9244726356, -87.736789505)"
MICHAELS FRESH MARKET,2043177,354856,41000,A,1300 E 47TH ST,60653,KENWOOD,39,4,17031390100,1.70314E+14,1185546.308,1874136.304,41.80977273,-87.59496089,"(41.8097727266, -87.5949608909)"
M & D VARIETY STORE,18355,7524,4500,B,1300 W 111TH ST,60643,MORGAN PARK,75,34,17031750100,1.70318E+14,1169607.667,1831203.275,41.69231963,-87.65466321,"(41.6923196266, -87.6546632113)"
JEWEL FOOD STORE #3344,1192905,259,63407,A,1220 S ASHLAND AVE,60608,NEAR WEST SIDE,28,2,17031842900,1.70318E+14,1165876.732,1894558.435,41.86625418,-87.66652414,"(41.8662541761, -87.6665241401)"
79 FOOD BASKET,1958784,341069,3000,B,1351 W 79TH ST,60620,AUBURN GRESHAM,71,21,17031710700,1.70317E+14,1168478.938,1852330.815,41.75032112,-87.65818905,"(41.7503211206, -87.6581890529)"
JEWEL-OSCO #3632,2037181,259,62349,A,3630 N SOUTHPORT AVE,60613,LAKE VIEW,6,44,17031060400,1.70311E+14,1166281.151,1924353.278,41.94800455,-87.66418623,"(41.9480045508, -87.6641862307)"
ROSE-RIDGE FOODS,1145417,216010,3000,B,10500 S MICHIGAN AVE,60628,ROSELAND,49,9,17031490902,1.70315E+14,1178820.315,1835321.04,41.70341522,-87.62080968,"(41.7034152187, -87.6208096791)"
COTTAGE GROVE FOOD MART,1898994,329883,4000,B,6307 S COTTAGE GROVE AVE,60637,WOODLAWN,42,20,17031420800,1.70314E+14,1182688.792,1863317.521,41.78015196,-87.60577752,"(41.7801519592, -87.6057775241)"
T & Z MEAT,1974575,343806,3000,B,3021 N CICERO AVE,60641,BELMONT CRAGIN,19,31,17031190100,1.70312E+14,1143886.979,1919747.429,41.93581593,-87.7466187,"(41.9358159257, -87.7466186972)"
"LA LOMA ""CARNICERIA Y TAQUERIA""",49880,17241,4501,B,2535 N LARAMIE AVE,60639,BELMONT CRAGIN,19,31,17031190800,1.70312E+14,1141327.094,1916530.522,41.92703609,-87.75610618,"(41.9270360931, -87.756106183)"
CARNICERIA JIMENEZ #2,48081,16943,19000,A,3850 W FULLERTON AVE,60647,LOGAN SQUARE,22,30,17031220701,1.70312E+14,1150082.915,1915713.668,41.92462832,-87.72395332,"(41.9246283205, -87.723953321)"
HOA NOM CO,8425,62866,4200,B,1101 W ARGYLE ST,60640,UPTOWN,3,48,17031031200,1.7031E+14,1167937.142,1933534.056,41.9731613,-87.65783318,"(41.9731612999, -87.6578331796)"
ROYLA BLUE FOODS,27007,63611,2500,B,4359 S CAMPBELL AVE,60632,BRIGHTON PARK,58,12,17031580700,1.70316E+14,1160464.17,1875452.004,41.81393768,-87.68692201,"(41.8139376802, -87.686922014)"
JEWEL FOOD STORE #3057,1400,259,21785,A,6057 S WESTERN AVE,60636,CHICAGO LAWN,66,16,17031835000,1.70318E+14,1161455.12,1864207.62,41.78306114,-87.68359887,"(41.7830611377, -87.6835988697)"
QUINTESSENCE,2033012,350756,3000,B,1532 N PULASKI RD,60651,HUMBOLDT PARK,23,30,17031230600,1.70312E+14,1149393.379,1910052.789,41.90910776,-87.72663415,"(41.909107755, -87.7266341469)"
CERMAK PRODUCE,1476654,273149,29000,A,4234 N KEDZIE AVE,60618,IRVING PARK,16,33,17031160501,1.70312E+14,1154249.872,1928122.48,41.95859672,-87.70830958,"(41.9585967247, -87.7083095759)"
OLD WORLD MARKET,7507,3851,10001,A,5129 N BROADWAY,60640,UPTOWN,3,48,17031031200,1.7031E+14,1167423.681,1934373.334,41.9754754,-87.65969701,"(41.9754753986, -87.6596970117)"
MEHRAB ZABIHA MEAT & TOBACCO,1094121,207539,3000,B,2445 W DEVON AVE,60659,WEST RIDGE,2,50,17031020802,1.7031E+14,1158669.747,1942366.008,41.99759202,-87.69166812,"(41.9975920168, -87.6916681219)"
PAULINA SUPER MARKET INC,4851,3286,7000,B,7622 N PAULINA ST,60626,ROGERS PARK,1,49,17031010100,1.7031E+14,1163617.239,1950601.539,42.02008732,-87.67323456,"(42.020087315, -87.6732345632)"
ALDI FOODS-STORE #27,13986,5273,12300,A,3363 N MILWAUKEE AVE,60641,IRVING PARK,16,30,17031161300,1.70312E+14,1148660.977,1922173.951,41.94238351,-87.72901086,"(41.9423835134, -87.7290108595)"
